Database??šAnnual by Province,,,,,,,,,,,,,,,,,,,,
Region£ºBeijing,,,,,,,,,,,,,,,,,,,,
Year£ºLATEST20,,,,,,,,,,,,,,,,,,,,
Indicators,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Household Consumption Expenditure(yuan),,"52,912","48,883","39,200","36,057","33,337","30,350","27,760","24,982","22,023","20,113","18,553","16,487","14,662","13,425","12,014","10,882","9,057","8,820","5,784"
Rural Household Consumption Expenditure(yuan),,"26,132","24,285","22,315","20,506","17,663","14,664","13,659","13,392","11,917","10,375","8,984","7,580","6,602","5,713","5,275","5,020","4,695","4,277","3,168"
Urban Household Consumption Expenditure(yuan),,"57,100","52,721","41,846","38,515","35,836","32,857","30,037","26,949","23,812","21,872","20,320","18,185","16,478","15,438","13,826","12,505","10,301","10,145","7,040"
Index of Household Consumption Expenditure (preceding year=100),,105.7,106.2,106.7,104.7,106.6,106.6,106.0,109.7,108.5,105.1,107.1,109.5,105.2,108.2,105.2,117.3,99.6,100.5,111.7
Index of Rural Household Consumption Expenditure (preceding year=100),,105.5,107.4,106.5,108.9,118.5,106.7,96.8,108.8,112.6,111.4,112.4,111.8,110.5,104.8,100.2,104.1,106.4,100.6,104.5
Index of Urban Household Consumption Expenditure (preceding year=100),,105.8,106.1,106.6,104.3,105.7,106.5,106.4,109.4,108.0,104.4,106.4,107.5,102.8,108.1,105.4,118.6,98.5,100.3,112.8
Data Sources£ºNational Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
