Database??šAnnual by Province,,,,,,,,,,,,,,,,,,,,
Region£ºBeijing,,,,,,,,,,,,,,,,,,,,
Year£ºLATEST20,,,,,,,,,,,,,,,,,,,,
Indicators,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Consumer Price Index (preceding year=100),102.5,101.9,101.4,101.8,101.6,103.3,103.3,105.6,102.4,98.5,105.1,102.4,100.9,101.5,101.0,100.2,98.2,103.1,103.5,100.6
Urban Household Consumer Price Index (preceding year=100),,101.9,101.4,101.8,101.6,103.3,103.3,105.6,102.4,98.5,105.1,102.4,100.9,101.5,101.0,100.2,98.2,103.1,,
Rural Household Consumer Price Index (preceding year=100),,,,,,,,,,,,,,,,,,,,
Retail Price Index (preceding year=100),,99.2,98.1,98.5,99.1,99.8,100.6,103.2,100.4,97.8,104.4,100.8,100.2,99.7,99.2,98.2,98.4,98.8,98.9,98.8
Urban Retail Price Indices (preceding year=100),,99.2,98.1,,99.1,99.8,100.6,103.2,100.4,97.8,104.4,100.8,100.2,99.7,99.2,98.2,98.4,98.8,,
Rural Retail Price Indices (preceding year=100),,,,,,,,,,,,,,,,,,,,
Data Sources£ºNational Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
